incident angle     0    1    2    3    4    5    6    7    8    9 
  (degrees)        
      0          2.44 2.44 2.44 2.44 2.43 2.43 2.43 2.42 2.42 2.41
     10          2.41 2.40 2.40 2.39 2.39 2.38 2.37 2.37 2.37 2.36
     20          2.36 2.36 2.36 2.37 2.37 2.38 2.39 2.41 2.43 2.45
     30          2.47 2.50 2.54 2.57 2.62 2.67 2.72 2.78 2.85 2.92
     40          3.00 3.01 3.18 3.29 3.40 3.51 3.64 3.78 3.93 4.08
     50          4.25 4.43 4.62 4.82 5.04 5.26 5.51 5.77 6.04 6.33
     60          6.64 6.97 7.33 7.70 8.10 8.53 8.99 9.49 10.0 10.6
     70          11.2 11.9 12.6 13.4 14.2 15.1 16.1 17.2 18.4 19.7
     80          21.2 22.7 24.4 26.2 28.1 30.1 32.1 34.1 36.0 37.6

	 
