
OBLIQUITY: 23.50 degrees


**LATITUDE GRID DATA**
          x      dx    latitude(rad)  latitude(deg)
    0  -1.000   0.001     -1.571        -90.0
    1  -0.999   0.008     -1.527        -87.5
    2  -0.991   0.015     -1.440        -82.5
    3  -0.976   0.023     -1.353        -77.5
    4  -0.954   0.030     -1.265        -72.5
    5  -0.924   0.037     -1.178        -67.5
    6  -0.887   0.044     -1.091        -62.5
    7  -0.843   0.050     -1.004        -57.5
    8  -0.793   0.056     -0.916        -52.5
    9  -0.737   0.062     -0.829        -47.5
   10  -0.676   0.067     -0.742        -42.5
   11  -0.609   0.071     -0.654        -37.5
   12  -0.537   0.076     -0.567        -32.5
   13  -0.462   0.079     -0.480        -27.5
   14  -0.383   0.082     -0.393        -22.5
   15  -0.301   0.084     -0.305        -17.5
   16  -0.216   0.086     -0.218        -12.5
   17  -0.131   0.087     -0.131         -7.5
   18  -0.044   0.087     -0.044         -2.5
   19   0.044   0.087      0.044          2.5
   20   0.131   0.086      0.131          7.5
   21   0.216   0.084      0.218         12.5
   22   0.301   0.082      0.305         17.5
   23   0.383   0.079      0.393         22.5
   24   0.462   0.076      0.480         27.5
   25   0.537   0.071      0.567         32.5
   26   0.609   0.067      0.654         37.5
   27   0.676   0.062      0.742         42.5
   28   0.737   0.056      0.829         47.5
   29   0.793   0.050      0.916         52.5
   30   0.843   0.044      1.004         57.5
   31   0.887   0.037      1.091         62.5
   32   0.924   0.030      1.178         67.5
   33   0.954   0.023      1.265         72.5
   34   0.976   0.015      1.353         77.5
   35   0.991   0.008      1.440         82.5
   36   0.999   0.001      1.527         87.5
   37   1.000   0.000      1.571         90.0
